,_id,l_MID,r_MID,Title_Title_jac_qgm_3_qgm_3,Title_Title_cos_dlm_dc0_dlm_dc0,Title_Title_jac_dlm_dc0_dlm_dc0,Title_Title_mel,Title_Title_lev_dist,Title_Title_lev_sim,Title_Title_nmw,Title_Title_sw,Running_Time_Running_Time_jac_qgm_3_qgm_3,Running_Time_Running_Time_cos_dlm_dc0_dlm_dc0,Running_Time_Running_Time_jac_dlm_dc0_dlm_dc0,Running_Time_Running_Time_mel,Running_Time_Running_Time_lev_dist,Running_Time_Running_Time_lev_sim,Running_Time_Running_Time_nmw,Running_Time_Running_Time_sw,Directors_Directors_jac_qgm_3_qgm_3,Directors_Directors_cos_dlm_dc0_dlm_dc0,Directors_Directors_jac_dlm_dc0_dlm_dc0,Directors_Directors_mel,Directors_Directors_lev_dist,Directors_Directors_lev_sim,Directors_Directors_nmw,Directors_Directors_sw,Release_Year_Release_Year_exm,Release_Year_Release_Year_anm,Release_Year_Release_Year_lev_dist,Release_Year_Release_Year_lev_sim,predicted,proba
1872,4856,2468,2963,0.3181818181818182,0.4999999999999999,0.3333333333333333,0.8347402811050415,6.0,0.5714285714285714,5.0,5.0,0.38461538461538464,0.4999999999999999,0.3333333333333333,0.9142857193946838,2.0,0.7142857142857143,5.0,5.0,0.037037037037037035,0.0,0.0,0.5555555820465088,11.0,0.08333333333333337,1.0,2.0,0.0,0.9950199203187251,3.0,0.5,0,0.0
1873,4858,2102,2964,0.34615384615384615,0.5,0.3333333333333333,0.8320091962814331,7.0,0.5882352941176471,7.0,7.0,0.38461538461538464,0.4999999999999999,0.3333333333333333,0.8285714387893677,2.0,0.7142857142857143,5.0,5.0,0.0,0.0,0.0,0.4474206268787384,17.0,0.19047619047619047,-1.0,2.0,0.34965034965034963,0.9938795848227315,1.6041958041958042,0.7326340326340325,0,0.0
1874,4862,2980,2965,0.38235294117647056,0.7745966692414834,0.6,0.7644360065460205,19.0,0.2962962962962963,-4.0,8.0,0.36363636363636365,0.4999999999999999,0.3333333333333333,0.8222222328186035,2.0,0.6666666666666667,3.0,4.0,0.05714285714285714,0.0,0.0,0.5258980989456177,14.0,0.26315789473684215,0.0,5.0,0.34965034965034963,0.9938795848227315,1.6041958041958042,0.7326340326340325,0,0.0
1875,4866,2467,2966,0.4482758620689655,0.5999999999999999,0.42857142857142855,0.8694117665290833,4.0,0.8,15.0,16.0,0.38461538461538464,0.4999999999999999,0.3333333333333333,0.8285714387893677,2.0,0.7142857142857143,5.0,5.0,0.0,0.0,0.0,0.3479532301425934,16.0,0.1578947368421053,-4.0,2.0,0.0,0.9984917043740573,1.0,0.8333333333333334,0,0.0
1876,4872,2630,2968,0.3333333333333333,0.4999999999999999,0.3333333333333333,0.8916666507720947,5.0,0.5833333333333333,3.0,7.0,0.3076923076923077,0.4999999999999999,0.3333333333333333,0.7460317611694336,3.0,0.5714285714285714,3.0,4.0,0.06896551724137931,0.0,0.0,0.37843137979507446,13.0,0.23529411764705888,-4.0,3.0,0.0,0.9965294992563213,1.0,0.8333333333333334,0,0.0
1877,4873,2631,2968,0.4,0.4999999999999999,0.3333333333333333,0.9133332967758179,3.0,0.75,8.0,8.0,0.3076923076923077,0.4999999999999999,0.3333333333333333,0.7460317611694336,3.0,0.5714285714285714,3.0,4.0,0.10344827586206896,0.0,0.0,0.5162210464477539,13.0,0.23529411764705888,-3.0,5.0,0.0,0.9845771144278607,4.0,0.33333333333333337,0,0.0
1878,4874,2632,2968,0.3157894736842105,0.4999999999999999,0.3333333333333333,0.8333333134651184,6.0,0.5,3.0,6.0,0.38461538461538464,0.4999999999999999,0.3333333333333333,0.9142857193946838,2.0,0.7142857142857143,5.0,5.0,0.0,0.0,0.0,0.5070028305053711,15.0,0.11764705882352944,-1.0,2.0,0.0,0.9990059642147118,1.0,0.8333333333333334,0,0.0
1879,4879,2629,2970,0.42857142857142855,0.4999999999999999,0.3333333333333333,0.8999999761581421,2.0,0.75,6.0,6.0,0.38461538461538464,0.4999999999999999,0.3333333333333333,0.8285714387893677,2.0,0.7142857142857143,5.0,5.0,0.07142857142857142,0.0,0.0,0.6234343647956848,11.0,0.2666666666666667,0.0,2.0,0.0,0.9995039682539683,1.0,0.8333333333333334,0,0.0
1880,4880,2630,2970,0.42857142857142855,0.4999999999999999,0.3333333333333333,0.8999999761581421,2.0,0.75,6.0,6.0,0.3076923076923077,0.4999999999999999,0.3333333333333333,0.7460317611694336,3.0,0.5714285714285714,3.0,4.0,0.0,0.0,0.0,0.5242424011230469,8.0,0.2727272727272727,2.0,3.0,0.0,0.9995042141794744,1.0,0.8333333333333334,0,0.0
1881,4898,2580,2971,0.34782608695652173,0.31622776601683794,0.16666666666666666,0.7766666412353516,12.0,0.4,-4.0,7.0,0.3076923076923077,0.4999999999999999,0.3333333333333333,0.7460317611694336,3.0,0.5714285714285714,3.0,4.0,0.0,0.0,0.0,0.5444444417953491,13.0,0.1333333333333333,2.0,2.0,0.0,0.9643034209221616,4.0,0.33333333333333337,0,0.0
1882,4908,2632,2973,0.30434782608695654,0.40824829046386296,0.25,0.7699346542358398,9.0,0.47058823529411764,0.0,5.0,0.38461538461538464,0.4999999999999999,0.3333333333333333,0.8285714387893677,2.0,0.7142857142857143,5.0,5.0,0.0,0.0,0.0,0.48677247762680054,15.0,0.16666666666666663,-1.0,2.0,0.0,0.9582504970178927,4.0,0.33333333333333337,0,0.0
1883,4912,2630,2974,0.5384615384615384,0.4999999999999999,0.3333333333333333,0.949999988079071,1.0,0.875,7.0,7.0,0.3076923076923077,0.4999999999999999,0.3333333333333333,0.7460317611694336,3.0,0.5714285714285714,3.0,4.0,0.038461538461538464,0.0,0.0,0.4948717951774597,11.0,0.15384615384615385,-1.0,3.0,0.0,0.991571641051066,2.0,0.6666666666666667,0,0.0
1884,4913,2632,2974,0.3125,0.4999999999999999,0.3333333333333333,0.8361111283302307,4.0,0.5555555555555556,4.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,7.0,7.0,0.0,0.0,0.0,0.4472527503967285,12.0,0.1428571428571429,0.0,2.0,0.0,0.9940357852882704,2.0,0.6666666666666667,0,0.1
1885,4917,2171,2974,0.5384615384615384,0.4999999999999999,0.3333333333333333,0.949999988079071,1.0,0.875,7.0,7.0,0.5,0.4999999999999999,0.3333333333333333,0.9238095283508301,1.0,0.8571428571428572,6.0,6.0,0.0,0.0,0.0,0.5427350401878357,10.0,0.23076923076923073,1.0,4.0,1.0,1.0,0.0,1.0,0,0.0
1886,4918,2307,2974,0.3,0.40824829046386296,0.25,0.889285683631897,7.0,0.5,1.0,4.0,0.5,0.4999999999999999,0.3333333333333333,0.9238095283508301,1.0,0.8571428571428572,6.0,6.0,0.12,0.0,0.0,0.55788654088974,9.0,0.3076923076923077,2.0,3.0,0.0,0.991571641051066,2.0,0.6666666666666667,0,0.0
1887,4920,2555,2974,0.35294117647058826,0.4999999999999999,0.3333333333333333,0.9022727012634277,4.0,0.6363636363636364,4.0,5.0,0.3076923076923077,0.4999999999999999,0.3333333333333333,0.7460317611694336,3.0,0.5714285714285714,3.0,4.0,0.0,0.0,0.0,0.3717948794364929,12.0,0.07692307692307687,0.0,2.0,0.0,0.9910802775024777,2.0,0.6666666666666667,0,0.0
1888,4929,2595,2979,0.34782608695652173,0.6666666666666667,0.5,0.89670330286026,6.0,0.5714285714285714,7.0,7.0,0.3333333333333333,0.4999999999999999,0.3333333333333333,0.7777777910232544,2.0,0.6666666666666667,4.0,4.0,0.0,0.0,0.0,0.5242424011230469,9.0,0.18181818181818177,1.0,2.0,0.34965034965034963,0.9938795848227315,1.6041958041958042,0.7326340326340325,0,0.0
1889,4930,2640,2979,1.0,1.0,1.0,1.0,0.0,1.0,14.0,14.0,1.0,1.0,1.0,1.0,0.0,1.0,6.0,6.0,1.0,1.0,1.0,1.0,0.0,1.0,11.0,11.0,0.34965034965034963,0.9938795848227315,1.6041958041958042,0.7326340326340325,1,1.0
1890,4935,2480,2979,0.4166666666666667,0.6666666666666667,0.5,0.8678571581840515,6.0,0.625,8.0,8.0,0.4166666666666667,0.4999999999999999,0.3333333333333333,0.8492063283920288,2.0,0.7142857142857143,4.0,5.0,0.07142857142857142,0.0,0.0,0.7227128744125366,10.0,0.33333333333333337,1.0,3.0,0.34965034965034963,0.9938795848227315,1.6041958041958042,0.7326340326340325,0,0.0
1891,4936,2499,2979,0.32,0.6666666666666667,0.5,0.8856276869773865,6.0,0.6,8.0,8.0,0.3076923076923077,0.4999999999999999,0.3333333333333333,0.7460317611694336,3.0,0.5714285714285714,3.0,4.0,0.0,0.0,0.0,0.4545454680919647,11.0,0.0,0.0,2.0,0.34965034965034963,0.9938795848227315,1.6041958041958042,0.7326340326340325,0,0.0
1892,4940,2624,2980,0.3333333333333333,0.4999999999999999,0.3333333333333333,0.8999999761581421,3.0,0.625,5.0,5.0,0.5,0.4999999999999999,0.3333333333333333,0.9444444179534912,1.0,0.8333333333333334,4.0,5.0,0.019230769230769232,0.0,0.0,0.4558080732822418,29.0,0.12121212121212122,-13.0,4.0,0.34965034965034963,0.9938795848227315,1.6041958041958042,0.7326340326340325,0,0.0
1893,4942,2632,2980,0.3125,0.4999999999999999,0.3333333333333333,0.8361111283302307,4.0,0.5555555555555556,4.0,5.0,0.3333333333333333,0.4999999999999999,0.3333333333333333,0.9047619104385376,2.0,0.7142857142857143,3.0,4.0,0.030303030303030304,0.0,0.0,0.4900793731212616,14.0,0.125,0.0,3.0,0.34965034965034963,0.9938795848227315,1.6041958041958042,0.7326340326340325,0,0.0
1894,4943,2634,2980,0.35714285714285715,0.4999999999999999,0.3333333333333333,0.8678571581840515,3.0,0.625,4.0,5.0,0.3333333333333333,0.4999999999999999,0.3333333333333333,0.7904762029647827,3.0,0.5714285714285714,2.0,4.0,0.0,0.0,0.0,0.4898809492588043,15.0,0.0625,-1.0,3.0,0.34965034965034963,0.9938795848227315,1.6041958041958042,0.7326340326340325,0,0.0
1895,4944,2126,2980,0.375,0.4999999999999999,0.3333333333333333,0.8700000047683716,4.0,0.6,4.0,4.0,0.3333333333333333,0.4999999999999999,0.3333333333333333,0.9047619104385376,2.0,0.7142857142857143,3.0,4.0,0.0,0.0,0.0,0.4990384578704834,12.0,0.25,1.0,2.0,0.34965034965034963,0.9938795848227315,1.6041958041958042,0.7326340326340325,0,0.0
1896,4949,2370,2980,0.375,0.4999999999999999,0.3333333333333333,0.8700000047683716,4.0,0.6,4.0,4.0,0.3333333333333333,0.4999999999999999,0.3333333333333333,0.7904762029647827,3.0,0.5714285714285714,2.0,4.0,0.34782608695652173,0.4999999999999999,0.3333333333333333,0.8454545736312866,8.0,0.5,3.0,8.0,0.34965034965034963,0.9938795848227315,1.6041958041958042,0.7326340326340325,0,0.1
1897,4950,2379,2980,0.35714285714285715,0.4999999999999999,0.3333333333333333,0.9214285612106323,2.0,0.75,5.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0,5.0,0.027777777777777776,0.0,0.0,0.6151960492134094,13.0,0.23529411764705888,3.0,3.0,0.34965034965034963,0.9938795848227315,1.6041958041958042,0.7326340326340325,0,0.1
1898,4952,898,2980,0.30434782608695654,0.35355339059327373,0.2,0.5675926208496094,11.0,0.38888888888888884,-3.0,7.0,0.3333333333333333,0.4999999999999999,0.3333333333333333,0.7904762029647827,3.0,0.5714285714285714,2.0,4.0,0.0,0.0,0.0,0.565123438835144,21.0,0.2222222222222222,-5.0,4.0,0.34965034965034963,0.9938795848227315,1.6041958041958042,0.7326340326340325,0,0.0
1899,4955,2542,2980,0.3333333333333333,0.4999999999999999,0.3333333333333333,0.8500000238418579,3.0,0.625,5.0,5.0,0.3333333333333333,0.4999999999999999,0.3333333333333333,0.7904762029647827,3.0,0.5714285714285714,2.0,4.0,0.03125,0.0,0.0,0.6034544110298157,13.0,0.1875,-1.0,3.0,0.34965034965034963,0.9938795848227315,1.6041958041958042,0.7326340326340325,0,0.0
1900,4963,2550,2983,0.3157894736842105,0.4999999999999999,0.3333333333333333,0.9054545164108276,3.0,0.7272727272727273,7.0,8.0,0.3076923076923077,0.4999999999999999,0.3333333333333333,0.7460317611694336,3.0,0.5714285714285714,3.0,4.0,0.0,0.0,0.0,0.49444442987442017,10.0,0.16666666666666663,0.0,3.0,0.0,0.9730404393409885,4.0,0.33333333333333337,0,0.0
1901,4967,2564,2985,0.36363636363636365,0.40824829046386296,0.25,0.846818208694458,6.0,0.625,5.0,7.0,0.3076923076923077,0.4999999999999999,0.3333333333333333,0.7460317611694336,3.0,0.5714285714285714,3.0,4.0,0.029411764705882353,0.0,0.0,0.4819444417953491,14.0,0.125,1.0,3.0,0.34965034965034963,0.9938795848227315,1.6041958041958042,0.7326340326340325,0,0.0
