"Title","Certificate","Genre","Rating","Running Time","Directors","Writers","Stars Cast","Country","Language","Budget","Gross","Release Date","Production Company"
"Hunger","NR","Drama","9","92 min.","Steve McQueen","NULL","Brian Milligan|Liam McMahon|Michael Fassbender|Liam Cunningham","Ireland|UK","NULL","NULL","NULL","Mar 20, 2009 (USA - Limited)","Blast! Films"
"Her","R","Drama|Science Fiction","9","126 min.","Spike Jonze","NULL","Joaquin Phoenix|Amy Adams|Scarlett Johansson|Rooney Mara","USA","NULL","NULL","NULL","Oct 13, 2013 (USA - Unknown), Dec 18, 2013 (USA - Limited), Jan 10, 2014 (USA)","Annapurna Pictures"
"Whiplash","R","Drama","9","107 min.","Damien Chazelle","NULL","Miles Teller|J.K. Simmons|Melissa Benoist|Paul Reiser","USA","NULL","NULL","NULL","Oct 10, 2014 (USA - Limited)","Blumhouse|Bold Films|Right of Way"
"Carol","R","Drama","9","118 min.","Todd Haynes","NULL","Cate Blanchett|Rooney Mara|Sarah Paulson|Kyle Chandler","UK|USA","NULL","NULL","NULL","Nov 20, 2015 (USA - Limited)","N|U|L|L"
"Dead Ringers","R","Drama","9","115 min.","David Cronenberg","NULL","Jeremy Irons|Heidi VonPalleske|Barbara Gordon|Shirley Douglas","Canada","NULL","NULL","NULL","Sep 23, 1988 (USA)","Mantle Clinic II"
"Going My Way","NULL","Drama","9","126 min.","Leo McCarey","NULL","Bing Crosby|Rise Stevens|Barry Fitzgerald|Gene Lockhart","USA","NULL","NULL","NULL","May 3, 1944 (USA - Unknown)","Paramount"
"The Killing Fields","R","Drama","9","142 min.","Roland Joff","NULL","Sam Waterston|John Malkovich|Julian Sands|Craig T. Nelson","UK","NULL","NULL","NULL","Nov 2, 1984 (USA - Unknown)","Enigma Productions|Goldcrest Films International|International Film Investors|Warner Brothers"
"My Left Foot","R","Drama","9","103 min.","Jim Sheridan","NULL","Daniel Day-Lewis|Ray McAnally|Brenda Fricker|Ruth McCabe","Ireland|UK","NULL","NULL","NULL","Nov 10, 1989 (USA)","Granada Film|Miramax"
"The Queen","PG13","Drama","9","101 min.","Stephen Frears","NULL","Helen Mirren|Michael Sheen|James Cromwell|Helen McCrory","France|Italy|UK","NULL","NULL","NULL","Sep 30, 2006 (USA - Limited)","BIM Distribuzione|Canal Plus|France 3 Cinema|Granada Film|Pathe Productions|Pathe Renn Productions"
"The Wrestler","R","Drama","9","109 min.","Darren Aronofsky","NULL","Mickey Rourke|Marisa Tomei|Evan Rachel Wood|Ernest Miller","France|USA","NULL","NULL","NULL","Dec 17, 2008 (USA - Limited)","Protozoa Pictures|Saturn Films|Summit Entertainment|Winchester Capital Partners"
"Frozen River","R","Drama","9","96 min.","Courtney Hunt","NULL","Melissa Leo|Misty Upham|Charlie McDermott|Michael O'Keefe","USA","NULL","NULL","NULL","Aug 1, 2008 (USA - Limited)","Harwood Hunt Productions|The Cohen Media Group"
"Spotlight","R","Drama","9","128 min.","Tom McCarthy","NULL","Michael Keaton|Mark Ruffalo|Rachel McAdams|Liev Schreiber","USA","NULL","NULL","NULL","Nov 6, 2015 (USA - Limited), Nov 20, 2015 (USA)","Anonymous Content"
"Casablanca","NR","Drama|Romance","10","102 min.","Michael Curtiz","NULL","Humphrey Bogart|Ingrid Bergman|Paul Henreid|Claude Rains","USA","NULL","NULL","NULL","Mar 21, 2012 (USA - Limited Rerelease)","Turner Entertainment|Warner Brothers"
"Drugstore Cowboy","R","Drama","10","100 min.","Gus Van Sant","NULL","Matt Dillon|Kelly Lynch|James LeGros|Heather Graham","USA","NULL","NULL","NULL","Oct 6, 1989 (USA)","Avenue Entertainment"
"sex, lies, and videotape","R","Drama","10","99 min.","Steven Soderbergh","NULL","James Spader|Andie MacDowell|Peter Gallagher|Laura San Giacomo","USA","NULL","NULL","NULL","Aug 4, 1989 (USA)","Miramax|Outlaw Productions"
