Title,Certificate,Genre,Rating,Running Time,Directors,Writers,Stars Cast,Country,Language,Budget,Gross,Release Date,Production Company
The Tree of Life,PG13,Drama,9,138 min.,Terrence Malick,NULL,Brad Pitt|Sean Penn|Jessica Chastain|Hunter McCracken,USA,NULL,NULL,NULL,"May 27, 2011 (USA)",River Road Entertainment
The Tree of Wooden Clogs,NULL,Drama,9,187 min.,Ermanno Olmi,NULL,Teresa Brescianini|Giuseppe Brignoli|Omar Brignoli|Antonio Ferrari,Italy,NULL,NULL,NULL,NULL,Gruppo Produzione Cinema|Italnoleggio|RAI
The Trial,NULL,Drama|Thriller,8,118 min.,Orson Welles,NULL,Anthony Perkins|Jeanne Moreau|Romy Schneider|Elsa Martinelli,France|Italy|West Germany,NULL,NULL,NULL,NULL,NULL
The Trials of Oscar Wilde,NULL,Drama,8,123 min.,Ken Hughes,NULL,Peter Finch|Yvonne Mitchell|Nigel Patrick|Lionel Jeffries,UK,NULL,NULL,NULL,"May 1, 1960 (USA - Unknown)",Kingsley International Pictures|Viceroy|Warwick Productions
The Tribe,NR,Drama,8,132 min.,Miroslav Slaboshpitsky,NULL,Grigoriy Fesenko|Yana Novikova|Rosa Babiy|Alexander Dsiadevich,Ukraine,NULL,NULL,NULL,"Jun 17, 2015 (USA - Limited)",Garmata Film Production
The Trip,NR,Drama,8,85 min.,Roger Corman,NULL,Peter Fonda|Susan Strasberg|Bruce Dern|Dennis Hopper,USA,NULL,NULL,NULL,"May 31, 1961 (USA - Unknown)",American International Pictures
The Trip to Bountiful,PG,Drama,8,102 min.,Peter Masterson,NULL,Geraldine Page|John Heard|Carlin Glynn|Richard Bradford,USA,NULL,NULL,NULL,"Dec 20, 1985 (USA)",Bountiful Film Partners Productions|FilmDallas|Island Pictures
The Turin Horse,NR,Drama,8,146 min.,BÃƒÂ©la Tarr,NULL,Janos Derzsi,France|Germany|Hungary|Switzerland,NULL,NULL,NULL,"Feb 10, 2012 (USA - Limited)",A.T.T. Filmmuhely|MPM Film|Vega Film|Werk Work Works|Zero Fiction Film
The Tuskegee Airmen,PG13,Drama|War,7,110 min.,Robert Markowitz,NULL,Laurence Fishburne|Allen Payne|Malcolm-Jamal Warner|Courtney B. Vance,USA,NULL,NULL,NULL,"Aug 26, 1995 (USA - Unknown)",NULL
The Two Faces of January,PG13,Thriller,7,96 min.,Hossein Amini,NULL,Viggo Mortensen|Kirsten Dunst|Oscar Isaac|Daisy Bevan,USA,NULL,NULL,NULL,"Sep 26, 2014 (USA - Limited)",Anton Capital Entertainment|LoveFilm|Studiocanal|Timnick Films|Timnick/Mirage|Working Title Films
