Title,Certificate,Genre,Rating,Running Time,Directors,Writers,Stars Cast,Country,Language,Budget,Gross,Release Date,Production Company
Leprechaun in the Hood,R,Action|Comedy|Fantasy,3.7,1h 30min,Rob Spera,Mark Jones|William Wells,Warwick Davis|Ice-T|Anthony Montgomery,USA,English,NULL,NULL,28 March 2000 (USA),Trimark Pictures
Devil Fish,R,Action|Horror|Thriller,2.4,1h 30min,Lamberto Bava,Lamberto Bava|Gianfranco Clerici,Michael Sopkiw|Valentine Monnier|Gianni Garko,Italy|Italy,Italian,NULL,NULL,14 November 1986 (USA),National Cinematografica|Nuova Dania Cinematografica|Filmes International
The Seven-Ups,PG,Action|Crime|Drama,6.8,1h 43min,Philip D'Antoni,Albert Ruben|Alexander Jacobs,Roy Scheider|Tony Lo Bianco|Victor Arnold,USA,English|Italian,"$2,425,000 ",NULL,14 December 1973 (USA),Philip D'Antoni Productions|Twentieth Century Fox
Mahouka koukou no rettousei,TV-14,Animation|Action|Fantasy,7.3,22min,NULL,NULL,YÌÈichi Nakamura|Saori Hayami|Yumi Uchiyama,Japan,Japanese,"JPYåÊ2,000,000",NULL,11 April 2014 (USA),Madhouse|ASCII Mediaworks|Aniplex
Resident Evil 4,NULL,Action|Adventure|Crime,9.3,NULL,Kuniomi Matsushita|Shinji Mikami,Shinsaku Ohara|Haruo Murata,Paul Mercier|Carolyn Lawrence|Rino Romano,Japan,English|Spanish,NULL,NULL,11 January 2005 (USA),Capcom Company
Rejseholdet,NULL,Action|Crime|Drama,8.2,1h 15min,NULL,NULL,Charlotte Fich|Mads Mikkelsen|Lars Brygmann,Denmark|Denmark,Danish|English,NULL,NULL,1 October 2000 (Denmark),Danmarks Radio (DR)
Black Moon Rising,R,Action|Thriller,5.4,1h 40min,Harley Cokeliss,John Carpenter|John Carpenter,Tommy Lee Jones|Linda Hamilton|Robert Vaughn,USA,English,NULL,NULL,10 January 1986 (USA),New World Pictures|Sequoia Productions (II)
Begum Jaan,NOT RATED,Action|Drama|History,5.6,2h 8min,Srijit Mukherji,NULL,Amitabh Bachchan|Vidya Balan|Naseeruddin Shah,India,Hindi,NULL,NULL,14 April 2017 (USA),PLAY Entertainment|PLAY Entertainment|SVF Entertainment
Skin Traffik,R,Action,4.9,1h 37min,Ara Paiaya,Adam Davidson|Ara Paiaya,Mickey Rourke|Daryl Hannah|Dominique Swain,UK,English,"$20,000,000 ",NULL,13 October 2015 (USA),Raging Pictures
Code Name: The Cleaner,PG-13,Action|Comedy|Crime,4.5,1h 24min,Les Mayfield,Robert Adetuyi|George Gallo,Cedric the Entertainer|Lucy Liu|Nicollette Sheridan,USA,English,"$20,000,000 ",NULL,5 January 2007 (USA),New Line Cinema|FilmEngine|Rat Entertainment
Hanover Street,PG,Action|Adventure|Drama,6.1,1h 49min,Peter Hyams,Peter Hyams,Harrison Ford|Lesley-Anne Down|Christopher Plummer,UK,English|German,NULL,NULL,13 September 1979 (UK),Columbia Pictures|Hanover Street
Shopping,R,Action|Crime|Drama,5.4,1h 27min,Paul W.S. Anderson,Paul W.S. Anderson,Sadie Frost|Jude Law|Sean Pertwee,UK|UK,English,NULL,NULL,9 February 1996 (USA),Channel Four Films|Impact Pictures|Kuzui Enterprises
